,Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Apple,Micrsoft,Nokia,Sony,LG,Motorola,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Edwards,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
LG,0.7971,0.4441,0.2764,0.5188,0.6822,0.6147,0.8393,0.6227,-0.384,0.4018,0.7128,0.5191,0.7968,0.8266,0.6446,0.4184,0.7852,0.7085,0.4242,0.8003,0.6707,0.7101,0.8399,0.5105,0.7837,0.6069,0.7808,0.0719,0.7354,0.7098,0.8181,1,0.5528,0.6252,0.4974,0.5396,0.7316,0.3885,0.7106,0.647,0.1635,0.8345,0.6029,0.4636,0.6358,0.3866,0.4751,0.3644,0.562,0.7175,0.0952,0.6709,0.6796,0.7488,0.359,0.1131,0.3689,0.596,0.7221,0.4743,-0.26,0.2372,0.5032,0.4475,0.1341,0.7844,0.7342,0.5711,0.609
Motorola,0.0783,0.8697,0.0733,0.9027,0.7665,0.8752,0.7498,0.7804,-0.6053,0.1912,0.8429,0.4454,0.6719,0.3706,0.5793,0.5766,0.6896,0.1947,0.0063,0.2377,0.4417,0.5479,0.5096,-0.141,0.5027,0.875,0.7187,-0.5865,0.2951,0.3503,0.6864,0.5078,0.9641,-0.1336,0.3648,0.9269,0.2413,0.1355,0.7661,0.6393,-0.4637,0.543,0.8468,0.5814,0.134,-0.2718,0.8381,0.874,0.2229,0.3902,-0.3558,0.5942,0.1935,0.4064,-0.3677,-0.4281,0.2318,0.5189,0.7463,0.1338,-0.5792,-0.55,-0.2532,0.7695,-0.2673,0.5124,0.7297,-0.0498,0.1358
Lenovo,0.775,-0.1922,0.2351,-0.0504,0.2796,0.057,0.4074,0.111,-0.0649,0.5001,0.2445,0.4727,0.3682,0.6719,0.4521,0.24,0.4178,0.8186,0.5201,0.7403,0.4319,0.3626,0.5853,0.7194,0.6241,0.0014,0.3431,0.6555,0.7254,0.4878,0.3716,0.6252,-0.0609,1,0.2951,-0.0947,0.6972,0.5805,0.2397,0.3069,0.7085,0.6022,0.0064,0.3059,0.699,0.7098,-0.1711,-0.2048,0.4132,0.6566,0.4643,0.3518,0.652,0.682,0.7935,0.5044,0.4264,0.1753,0.1893,0.4891,0.2683,0.8107,0.8518,-0.0738,0.5029,0.5903,0.3096,0.8747,0.642
BlackBerry,0.5744,0.1446,0.2086,0.3124,0.748,0.6537,0.6366,0.7544,-0.0292,0.0272,0.5264,0.5471,0.7477,0.6972,0.2444,0.1386,0.7059,0.4569,0.6928,0.7079,0.4225,0.7205,0.6973,0.5274,0.5639,0.6967,0.7253,-0.1851,0.5749,0.6503,0.7159,0.4974,0.4341,0.2951,1,0.5761,0.6737,0.4639,0.6893,0.6351,0.1099,0.6999,0.6233,0.4082,0.6814,0.4599,0.3929,0.3225,0.4356,0.3928,0.3527,0.7869,0.7163,0.6936,0.383,0.3199,0.0454,0.1173,0.6014,0.6029,-0.2991,-0.0739,0.4882,0.2918,-0.0991,0.5118,0.5997,0.3482,0.7091
Alcatel,0.4263,0.8359,0.2049,0.8535,0.8507,0.966,0.7993,0.8988,-0.4891,0.0648,0.8711,0.4927,0.7877,0.4753,0.4651,0.4643,0.775,0.2332,0.2154,0.3831,0.5422,0.6653,0.6204,0.0307,0.5216,0.9617,0.8191,-0.6031,0.4077,0.4832,0.8036,0.5396,0.9505,-0.0947,0.5761,1,0.3693,0.2713,0.8653,0.7824,-0.4051,0.6465,0.9341,0.6458,0.3029,-0.1244,0.8985,0.8614,0.3453,0.4127,-0.1978,0.7496,0.371,0.5113,-0.2468,-0.2579,0.2184,0.5708,0.8062,0.2994,-0.6065,-0.5424,-0.1227,0.7624,-0.3746,0.5596,0.75,-0.0114,0.2753
Vodafone,0.7486,0.003,0.118,0.1495,0.6936,0.5046,0.6861,0.616,-0.0127,0.1701,0.5081,0.5282,0.8117,0.9422,0.4729,0.1481,0.7618,0.7545,0.7755,0.9208,0.4909,0.8273,0.8478,0.7744,0.7636,0.4989,0.7759,0.1395,0.7614,0.8594,0.7369,0.7316,0.3327,0.6972,0.6737,0.3693,1,0.5941,0.6994,0.5627,0.459,0.8427,0.5037,0.4711,0.8702,0.718,0.2041,0.1378,0.434,0.6194,0.5352,0.7075,0.8418,0.8308,0.7081,0.5527,0.2163,0.2295,0.6927,0.5722,-0.2933,0.3039,0.7891,0.2323,0.1666,0.6793,0.5884,0.7056,0.793
JandJ,0.6362,0.0514,0.1993,0.2061,0.4935,0.3974,0.4783,0.4304,-0.0917,0.2503,0.4706,0.571,0.4803,0.5369,0.3857,0.3648,0.5337,0.6614,0.6706,0.6253,0.4987,0.4479,0.6436,0.6818,0.535,0.3485,0.522,0.166,0.7208,0.4923,0.5004,0.3885,0.2748,0.5805,0.4639,0.2713,0.5941,1,0.5207,0.6337,0.5046,0.6637,0.359,0.7081,0.7372,0.6736,0.1849,0.2367,0.3712,0.5304,0.5598,0.6106,0.6665,0.6818,0.5707,0.5819,0.5643,0.165,0.3395,0.6207,0.035,0.3778,0.5537,0.357,0.0685,0.5852,0.3844,0.5698,0.491
GE,0.6296,0.599,0.1357,0.6456,0.8968,0.9141,0.8481,0.9105,-0.2578,0.0064,0.8135,0.4792,0.9485,0.7502,0.4532,0.3509,0.8932,0.4761,0.5882,0.6944,0.6594,0.8894,0.857,0.4497,0.6425,0.9171,0.9506,-0.4558,0.6062,0.8136,0.9044,0.7106,0.834,0.2397,0.6893,0.8653,0.6994,0.5207,1,0.8717,-0.1339,0.8365,0.9415,0.6479,0.6556,0.2798,0.7598,0.6417,0.4752,0.5165,0.1301,0.875,0.6675,0.7122,0.1324,0.1395,0.2721,0.546,0.9117,0.5329,-0.6308,-0.2392,0.2547,0.7386,-0.2967,0.7007,0.7796,0.2229,0.5251
Medtronic,0.6978,0.6045,0.354,0.6219,0.795,0.8466,0.7874,0.81,-0.3249,0.1069,0.7731,0.5279,0.8141,0.6227,0.3946,0.4168,0.7849,0.4823,0.5412,0.6368,0.7947,0.7336,0.7882,0.4487,0.5652,0.7974,0.8147,-0.339,0.6583,0.6618,0.8377,0.647,0.7222,0.3069,0.6351,0.7824,0.5627,0.6337,0.8717,1,-0.0627,0.7902,0.8449,0.6932,0.6662,0.323,0.7627,0.6054,0.6748,0.5338,0.1618,0.878,0.6974,0.7114,0.1716,0.1549,0.4276,0.6191,0.725,0.6104,-0.3616,-0.0767,0.2503,0.6694,-0.2656,0.6774,0.7235,0.2809,0.4674
Fresenius,0.3636,-0.5485,0.0622,-0.3541,0.017,-0.263,0.0615,-0.1884,0.055,0.4711,-0.0857,0.3544,-0.0056,0.388,0.3341,0.15,0.1293,0.6559,0.3966,0.4918,0.025,0.0379,0.2841,0.5805,0.4153,-0.2934,0.0111,0.8151,0.4361,0.1012,0.0318,0.1635,-0.4082,0.7085,0.1099,-0.4051,0.459,0.5046,-0.1339,-0.0627,1,0.3271,-0.3194,0.2654,0.5309,0.7217,-0.5732,-0.3446,0.0978,0.4411,0.6936,0.1161,0.462,0.3922,0.8015,0.6527,0.3977,-0.2959,-0.1637,0.1653,0.4273,0.7933,0.7388,-0.3302,0.7182,0.3694,-0.0954,0.6901,0.4055
Koninklijke (Philips),0.8416,0.3754,0.1706,0.5553,0.8781,0.7558,0.8971,0.7867,-0.4105,0.418,0.8008,0.7272,0.8804,0.8987,0.7025,0.4865,0.9375,0.8296,0.6347,0.8954,0.6465,0.814,0.9585,0.6527,0.9028,0.7348,0.9033,0.043,0.8433,0.7325,0.897,0.8345,0.6225,0.6022,0.6999,0.6465,0.8427,0.6637,0.8365,0.7902,0.3271,1,0.7147,0.7233,0.8345,0.5512,0.4497,0.5093,0.5192,0.799,0.354,0.9021,0.8564,0.8867,0.4612,0.3364,0.4647,0.3934,0.7843,0.5741,-0.28,0.1981,0.5688,0.5078,0.1826,0.8681,0.7769,0.6082,0.7018
Cardinal,0.4669,0.7216,0.1662,0.717,0.8598,0.9445,0.7913,0.9054,-0.3182,-0.0541,0.8045,0.4156,0.8664,0.5866,0.3849,0.3951,0.8111,0.2745,0.4369,0.5184,0.6225,0.7892,0.7431,0.2351,0.5141,0.9497,0.8858,-0.6107,0.4371,0.6655,0.8667,0.6029,0.8895,0.0064,0.6233,0.9341,0.5037,0.359,0.9415,0.8449,-0.3194,0.7147,1,0.6014,0.4881,0.0879,0.8607,0.7566,0.453,0.3625,-0.008,0.8187,0.5177,0.5553,-0.0963,-0.0558,0.2413,0.561,0.8759,0.394,-0.6765,-0.4509,0.0189,0.7844,-0.4109,0.595,0.7314,0.0144,0.3668
Novartis,0.5485,0.5156,0.2311,0.6307,0.7087,0.6899,0.7061,0.6124,-0.5227,0.4238,0.7789,0.6985,0.5775,0.5061,0.6692,0.6436,0.7037,0.6081,0.2917,0.4928,0.5194,0.4713,0.6482,0.2807,0.6763,0.6492,0.6589,-0.0361,0.6359,0.3409,0.6646,0.4636,0.6466,0.3059,0.4082,0.6458,0.4711,0.7081,0.6479,0.6932,0.2654,0.7233,0.6014,1,0.5155,0.2468,0.467,0.6473,0.2843,0.6754,0.2555,0.6761,0.5144,0.6663,0.1975,0.1115,0.6523,0.3836,0.5324,0.3182,-0.1781,0.0163,0.1882,0.5551,0.0841,0.7404,0.5379,0.3847,0.3472
Stryker,0.752,-0.0491,0.1374,0.1071,0.6578,0.4836,0.6087,0.5609,0.0215,0.179,0.4396,0.5133,0.7211,0.8588,0.3698,0.1798,0.7191,0.7601,0.8693,0.8959,0.5635,0.7328,0.8515,0.8682,0.6988,0.4443,0.7067,0.1711,0.7998,0.7812,0.711,0.6358,0.2447,0.699,0.6814,0.3029,0.8702,0.7372,0.6556,0.6662,0.5309,0.8345,0.4881,0.5155,1,0.8267,0.1479,0.1249,0.5368,0.5887,0.7117,0.7893,0.9418,0.8321,0.7348,0.6624,0.3549,0.179,0.5943,0.7,-0.1121,0.4163,0.7588,0.2127,0.1777,0.6574,0.5127,0.6576,0.8061
Becton,0.5118,-0.4182,0.1324,-0.2721,0.2501,0.0408,0.255,0.1998,0.2386,0.1141,0.0765,0.3285,0.3932,0.6281,0.1878,-0.0418,0.3558,0.6377,0.814,0.7495,0.32,0.4774,0.6007,0.8888,0.4341,0.0306,0.3655,0.384,0.6149,0.5913,0.3621,0.3866,-0.169,0.7098,0.4599,-0.1244,0.718,0.6736,0.2798,0.323,0.7217,0.5512,0.0879,0.2468,0.8267,1,-0.2082,-0.2294,0.4004,0.3453,0.8104,0.473,0.7834,0.581,0.8738,0.8664,0.2784,-0.1038,0.241,0.598,0.1485,0.6113,0.8454,-0.0761,0.2654,0.4132,0.1946,0.642,0.6188
BostonScience,0.3232,0.8609,0.3695,0.7412,0.6289,0.8423,0.6513,0.7627,-0.3612,-0.1158,0.737,0.2719,0.6647,0.3011,0.258,0.3642,0.5498,0.0138,0.1221,0.2256,0.6231,0.5517,0.4598,-0.0703,0.2649,0.8187,0.6736,-0.698,0.2541,0.4374,0.6729,0.4751,0.861,-0.1711,0.3929,0.8985,0.2041,0.1849,0.7598,0.7627,-0.5732,0.4497,0.8607,0.467,0.1479,-0.2082,1,0.7568,0.4612,0.2035,-0.3428,0.597,0.2385,0.3201,-0.3408,-0.329,0.1897,0.7166,0.6806,0.25,-0.6081,-0.5579,-0.2222,0.7691,-0.5801,0.4021,0.6524,-0.1541,0.0847
Allergan,0.2702,0.8109,0.0986,0.8602,0.6863,0.8222,0.6527,0.7354,-0.6742,0.2603,0.8252,0.5124,0.5399,0.2535,0.559,0.5949,0.6157,0.1717,-0.0146,0.1659,0.4201,0.4094,0.4517,-0.1506,0.4635,0.7974,0.6482,-0.4718,0.3362,0.1636,0.629,0.3644,0.8772,-0.2048,0.3225,0.8614,0.1378,0.2367,0.6417,0.6054,-0.3446,0.5093,0.7566,0.6473,0.1249,-0.2294,0.7568,1,0.1985,0.3632,-0.269,0.6042,0.2074,0.3246,-0.3949,-0.3593,0.3314,0.3929,0.6327,0.0904,-0.4288,-0.5151,-0.3122,0.7304,-0.1976,0.4399,0.6053,-0.0595,0.0587
St Jude,0.6461,0.2783,0.5144,0.1846,0.4142,0.4369,0.5161,0.3944,-0.0811,0.1517,0.363,0.263,0.5152,0.5057,0.2285,0.2211,0.4196,0.357,0.4042,0.5474,0.7761,0.4744,0.5289,0.3541,0.3799,0.3489,0.5139,0.0046,0.4703,0.4765,0.5221,0.562,0.2875,0.4132,0.4356,0.3453,0.434,0.3712,0.4752,0.6748,0.0978,0.5192,0.453,0.2843,0.5368,0.4004,0.4612,0.1985,1,0.3481,0.1691,0.5784,0.6044,0.473,0.2987,0.1741,0.3604,0.4426,0.3844,0.3561,-0.139,0.174,0.3545,0.2572,-0.0344,0.4499,0.3898,0.2916,0.4177
3M,0.7812,0.3117,0.2173,0.5224,0.6689,0.5033,0.7777,0.4796,-0.5601,0.7374,0.6933,0.7377,0.5897,0.709,0.8287,0.5761,0.7644,0.9016,0.2626,0.7105,0.4304,0.4447,0.7131,0.4555,0.8898,0.4559,0.6205,0.3816,0.7509,0.3806,0.6219,0.7175,0.431,0.6566,0.3928,0.4127,0.6194,0.5304,0.5165,0.5338,0.4411,0.799,0.3625,0.6754,0.5887,0.3453,0.2035,0.3632,0.3481,1,0.1781,0.6219,0.6245,0.7757,0.4053,0.1768,0.5153,0.4008,0.4755,0.3345,0.0298,0.4132,0.4668,0.2679,0.5191,0.8296,0.5696,0.6788,0.5646
Abbott,0.2568,-0.5227,-0.05,-0.3831,0.1499,-0.0412,0.051,0.0552,0.3407,-0.0355,-0.1171,0.1693,0.2048,0.4437,-0.0252,-0.1971,0.1962,0.4402,0.6742,0.5114,0.1194,0.2899,0.3697,0.7037,0.2638,-0.046,0.1848,0.3011,0.4294,0.3966,0.1955,0.0952,-0.2733,0.4643,0.3527,-0.1978,0.5352,0.5598,0.1301,0.1618,0.6936,0.354,-0.008,0.2555,0.7117,0.8104,-0.3428,-0.269,0.1691,0.1781,1,0.3288,0.6206,0.4346,0.7754,0.7895,0.1392,-0.2837,0.1083,0.4393,0.1894,0.4611,0.6369,-0.2241,0.2292,0.2166,-0.0214,0.4609,0.5538
Zimmer,0.7031,0.427,0.2296,0.5657,0.8908,0.8433,0.8431,0.878,-0.3286,0.213,0.7654,0.637,0.8841,0.7875,0.5096,0.3751,0.8791,0.6205,0.6484,0.7781,0.6585,0.8271,0.8812,0.5666,0.7352,0.8165,0.9012,-0.2223,0.727,0.6981,0.884,0.6709,0.6695,0.3518,0.7869,0.7496,0.7075,0.6106,0.875,0.878,0.1161,0.9021,0.8187,0.6761,0.7893,0.473,0.597,0.6042,0.5784,0.6219,0.3288,1,0.8524,0.7998,0.3186,0.2843,0.3384,0.3683,0.7864,0.5978,-0.3569,-0.0358,0.3938,0.5569,-0.03,0.7367,0.7506,0.3688,0.6387
SmithAndNephew,0.7522,0.0334,0.2227,0.1844,0.6751,0.5338,0.6679,0.6239,-0.0895,0.2412,0.5027,0.557,0.7627,0.8635,0.4299,0.2005,0.73,0.7478,0.7838,0.8871,0.6027,0.7552,0.8593,0.8115,0.7306,0.4936,0.7471,0.1299,0.8162,0.7476,0.7385,0.6796,0.2939,0.652,0.7163,0.371,0.8418,0.6665,0.6675,0.6974,0.462,0.8564,0.5177,0.5144,0.9418,0.7834,0.2385,0.2074,0.6044,0.6245,0.6206,0.8524,1,0.8257,0.6771,0.5895,0.3527,0.2191,0.6272,0.6629,-0.1235,0.3784,0.7081,0.2327,0.186,0.6766,0.5773,0.6219,0.777
Olympus,0.8573,0.2116,0.2521,0.42,0.8026,0.6466,0.8041,0.6907,-0.2738,0.3795,0.6846,0.7185,0.7884,0.8711,0.5575,0.3302,0.8173,0.8244,0.6501,0.8428,0.5495,0.7368,0.8437,0.6671,0.8553,0.5927,0.7696,0.129,0.8812,0.7175,0.794,0.7488,0.4924,0.682,0.6936,0.5113,0.8308,0.6818,0.7122,0.7114,0.3922,0.8867,0.5553,0.6663,0.8321,0.581,0.3201,0.3246,0.473,0.7757,0.4346,0.7998,0.8257,1,0.6005,0.33,0.3125,0.3324,0.6681,0.6935,-0.0933,0.2954,0.6465,0.2654,0.2173,0.7449,0.7091,0.7306,0.8268
Bayer,0.5262,-0.5318,0.1991,-0.3597,0.168,-0.0891,0.2181,0.0511,0.2635,0.1698,-0.0258,0.3161,0.3035,0.6271,0.1466,-0.0974,0.2523,0.6639,0.669,0.7099,0.2089,0.3533,0.4663,0.7899,0.4287,-0.1004,0.2344,0.5608,0.5694,0.5097,0.2544,0.359,-0.2925,0.7935,0.383,-0.2468,0.7081,0.5707,0.1324,0.1716,0.8015,0.4612,-0.0963,0.1975,0.7348,0.8738,-0.3408,-0.3949,0.2987,0.4053,0.7754,0.3186,0.6771,0.6005,1,0.771,0.1601,-0.098,0.0865,0.5165,0.2554,0.7172,0.9221,-0.2425,0.4013,0.4067,0.1033,0.7715,0.6768
Bard,0.2634,-0.5531,-0.0322,-0.4391,0.0609,-0.1339,0.0218,0.029,0.3998,-0.0836,-0.1403,0.1234,0.207,0.4111,-0.0155,-0.1794,0.1789,0.4444,0.7238,0.5738,0.0899,0.2992,0.3979,0.8082,0.1948,-0.1016,0.1745,0.3191,0.3567,0.4462,0.1337,0.1131,-0.3351,0.5044,0.3199,-0.2579,0.5527,0.5819,0.1395,0.1549,0.6527,0.3364,-0.0558,0.1115,0.6624,0.8664,-0.329,-0.3593,0.1741,0.1768,0.7895,0.2843,0.5895,0.33,0.771,1,0.1763,-0.2079,0.0592,0.458,0.1167,0.5356,0.7159,-0.1168,0.1536,0.2484,-0.0342,0.4155,0.416
Varian,0.4257,0.3489,0.3279,0.3238,0.2711,0.2633,0.3795,0.1594,-0.4557,0.5333,0.4781,0.4731,0.207,0.2475,0.6214,0.7538,0.3525,0.5078,0.1493,0.3457,0.5183,0.0951,0.4522,0.2073,0.4397,0.2101,0.3265,0.3171,0.452,0.0683,0.3381,0.3689,0.2697,0.4264,0.0454,0.2184,0.2163,0.5643,0.2721,0.4276,0.3977,0.4647,0.2413,0.6523,0.3549,0.2784,0.1897,0.3314,0.3604,0.5153,0.1392,0.3384,0.3527,0.3125,0.1601,0.1763,1,0.3689,0.1671,0.0598,0.0213,0.3715,0.1889,0.3978,0.2417,0.6217,0.2304,0.3218,0.0665
DENTSPLY,0.4117,0.6971,0.5188,0.5291,0.3991,0.5382,0.5583,0.4157,-0.3449,0.0649,0.5786,0.1827,0.5176,0.3191,0.3206,0.3992,0.4429,0.2231,0.0434,0.3161,0.6108,0.3512,0.4386,0.0521,0.2806,0.5084,0.4779,-0.2749,0.2926,0.411,0.5568,0.596,0.5591,0.1753,0.1173,0.5708,0.2295,0.165,0.546,0.6191,-0.2959,0.3934,0.561,0.3836,0.179,-0.1038,0.7166,0.3929,0.4426,0.4008,-0.2837,0.3683,0.2191,0.3324,-0.098,-0.2079,0.3689,1,0.4859,0.2369,-0.327,-0.0681,-0.003,0.5597,-0.3203,0.5245,0.4914,0.1,0.1066
Hologic,0.5425,0.557,0.0382,0.6028,0.8452,0.859,0.8002,0.8804,-0.2942,0.0223,0.775,0.4321,0.9082,0.7502,0.4869,0.2651,0.8421,0.4331,0.4995,0.633,0.5545,0.8646,0.8068,0.3796,0.6673,0.8539,0.9163,-0.4415,0.5968,0.7866,0.8718,0.7221,0.8046,0.1893,0.6014,0.8062,0.6927,0.3395,0.9117,0.725,-0.1637,0.7843,0.8759,0.5324,0.5943,0.241,0.6806,0.6327,0.3844,0.4755,0.1083,0.7864,0.6272,0.6681,0.0865,0.0592,0.1671,0.4859,1,0.464,-0.6141,-0.2706,0.1856,0.5867,-0.2219,0.5757,0.7825,0.2422,0.5328
Danaher,0.5874,0.0326,0.203,0.1838,0.4751,0.4125,0.4394,0.5274,0.038,-0.0226,0.3774,0.4262,0.5531,0.5449,0.0921,-0.018,0.5006,0.49,0.7088,0.6142,0.4294,0.5895,0.625,0.7218,0.4054,0.3829,0.4835,-0.0795,0.6768,0.677,0.5649,0.4743,0.2483,0.4891,0.6029,0.2994,0.5722,0.6207,0.5329,0.6104,0.1653,0.5741,0.394,0.3182,0.7,0.598,0.25,0.0904,0.3561,0.3345,0.4393,0.5978,0.6629,0.6935,0.5165,0.458,0.0598,0.2369,0.464,1,0.119,0.2384,0.5385,0.1675,-0.1722,0.355,0.5151,0.5073,0.6251
Edwards,-0.047,-0.4513,0.0695,-0.3139,-0.4556,-0.5587,-0.3837,-0.5311,-0.0415,0.4086,-0.3693,0.0988,-0.5614,-0.3221,-0.0677,-0.0851,-0.4001,0.1276,-0.2169,-0.1927,-0.2648,-0.5349,-0.3165,0.0535,-0.1227,-0.6188,-0.5686,0.6315,0.0452,-0.4751,-0.428,-0.26,-0.5951,0.2683,-0.2991,-0.6065,-0.2933,0.035,-0.6308,-0.3616,0.4273,-0.28,-0.6765,-0.1781,-0.1121,0.1485,-0.6081,-0.4288,-0.139,0.0298,0.1894,-0.3569,-0.1235,-0.0933,0.2554,0.1167,0.0213,-0.327,-0.6141,0.119,1,0.565,0.1419,-0.5896,0.4724,-0.2359,-0.3621,0.315,-0.0408
Intuitive,0.4161,-0.5037,0.1248,-0.3811,-0.1916,-0.4068,-0.0402,-0.3517,0.0519,0.4628,-0.1779,0.1875,-0.1152,0.2598,0.2001,0.0709,-0.0227,0.5904,0.2629,0.396,0.0956,-0.097,0.188,0.5613,0.2735,-0.4495,-0.1374,0.8537,0.409,0.0742,-0.08,0.2372,-0.505,0.8107,-0.0739,-0.5424,0.3039,0.3778,-0.2392,-0.0767,0.7933,0.1981,-0.4509,0.0163,0.4163,0.6113,-0.5579,-0.5151,0.174,0.4132,0.4611,-0.0358,0.3784,0.2954,0.7172,0.5356,0.3715,-0.0681,-0.2706,0.2384,0.565,1,0.695,-0.3719,0.6361,0.2711,-0.0889,0.6725,0.3075
ABB Robo,0.6351,-0.4159,0.2287,-0.2441,0.2822,0.022,0.3336,0.1721,0.2084,0.212,0.1069,0.4024,0.4216,0.7151,0.244,0.0088,0.3899,0.7098,0.7272,0.8106,0.2889,0.4778,0.5798,0.82,0.5158,0.0206,0.3518,0.5327,0.6065,0.6035,0.3854,0.5032,-0.1826,0.8518,0.4882,-0.1227,0.7891,0.5537,0.2547,0.2503,0.7388,0.5688,0.0189,0.1882,0.7588,0.8454,-0.2222,-0.3122,0.3545,0.4668,0.6369,0.3938,0.7081,0.6465,0.9221,0.7159,0.1889,-0.003,0.1856,0.5385,0.1419,0.695,1,-0.1169,0.3778,0.5216,0.2687,0.7757,0.6934
Adept,0.2784,0.7235,0.1112,0.7112,0.5954,0.7097,0.6176,0.6501,-0.4042,0.0074,0.7179,0.3285,0.6122,0.2865,0.3997,0.5528,0.5955,0.1727,0.19,0.2921,0.4842,0.4959,0.5379,0.0433,0.307,0.7651,0.6507,-0.5119,0.2386,0.3925,0.6411,0.4475,0.7795,-0.0738,0.2918,0.7624,0.2323,0.357,0.7386,0.6694,-0.3302,0.5078,0.7844,0.5551,0.2127,-0.0761,0.7691,0.7304,0.2572,0.2679,-0.2241,0.5569,0.2327,0.2654,-0.2425,-0.1168,0.3978,0.5597,0.5867,0.1675,-0.5896,-0.3719,-0.1169,1,-0.3978,0.5618,0.5448,-0.1132,0.0025
Bosch,0.2691,-0.3574,-0.1037,-0.12,-0.0085,-0.2824,0.08,-0.2626,-0.2955,0.7571,-0.0494,0.3391,-0.1532,0.2185,0.4848,0.2583,0.0795,0.5639,-0.0909,0.2316,-0.1498,-0.1713,0.0815,0.162,0.4527,-0.3214,-0.1023,0.8484,0.2429,-0.2387,-0.1061,0.1341,-0.313,0.5029,-0.0991,-0.3746,0.1666,0.0685,-0.2967,-0.2656,0.7182,0.1826,-0.4109,0.0841,0.1777,0.2654,-0.5801,-0.1976,-0.0344,0.5191,0.2292,-0.03,0.186,0.2173,0.4013,0.1536,0.2417,-0.3203,-0.2219,-0.1722,0.4724,0.6361,0.3778,-0.3978,1,0.2613,-0.0997,0.5292,0.2205
CaterPill,0.732,0.415,0.3331,0.5408,0.7374,0.6142,0.8444,0.5903,-0.4589,0.5086,0.7448,0.672,0.7378,0.7671,0.7589,0.6555,0.8298,0.8149,0.4371,0.8171,0.6029,0.6087,0.8492,0.5033,0.8097,0.6337,0.7614,0.1717,0.6691,0.5508,0.7857,0.7844,0.5335,0.5903,0.5118,0.5596,0.6793,0.5852,0.7007,0.6774,0.3694,0.8681,0.595,0.7404,0.6574,0.4132,0.4021,0.4399,0.4499,0.8296,0.2166,0.7367,0.6766,0.7449,0.4067,0.2484,0.6217,0.5245,0.5757,0.355,-0.2359,0.2711,0.5216,0.5618,0.2613,1,0.6013,0.5154,0.5204
Denso,0.6392,0.5692,0.191,0.6837,0.7739,0.7795,0.7952,0.8395,-0.4602,0.208,0.8242,0.6233,0.7841,0.6458,0.5215,0.3736,0.7813,0.4998,0.4058,0.5942,0.5573,0.7459,0.7383,0.3454,0.6772,0.7666,0.7936,-0.2615,0.6649,0.6187,0.8157,0.7342,0.744,0.3096,0.5997,0.75,0.5884,0.3844,0.7796,0.7235,-0.0954,0.7769,0.7314,0.5379,0.5127,0.1946,0.6524,0.6053,0.3898,0.5696,-0.0214,0.7506,0.5773,0.7091,0.1033,-0.0342,0.2304,0.4914,0.7825,0.5151,-0.3621,-0.0889,0.2687,0.5448,-0.0997,0.6013,1,0.359,0.4498
Google,0.7488,-0.1703,0.2129,0.0505,0.3629,0.1393,0.4586,0.216,-0.1887,0.5578,0.3373,0.6167,0.3833,0.6658,0.5248,0.2479,0.4492,0.8225,0.4423,0.6805,0.3192,0.3544,0.5506,0.6086,0.6996,0.0675,0.3621,0.6282,0.7962,0.4152,0.4021,0.5711,0.0232,0.8747,0.3482,-0.0114,0.7056,0.5698,0.2229,0.2809,0.6901,0.6082,0.0144,0.3847,0.6576,0.642,-0.1541,-0.0595,0.2916,0.6788,0.4609,0.3688,0.6219,0.7306,0.7715,0.4155,0.3218,0.1,0.2422,0.5073,0.315,0.6725,0.7757,-0.1132,0.5292,0.5154,0.359,1,0.6839
Unversal Electro,0.7136,-0.0838,0.1974,0.0993,0.6343,0.4385,0.5867,0.5056,0.0396,0.2201,0.3837,0.5119,0.66,0.841,0.3153,0.0837,0.632,0.6747,0.6904,0.7844,0.374,0.6118,0.6887,0.6587,0.69,0.4001,0.6199,0.1943,0.7172,0.6904,0.6239,0.609,0.2237,0.642,0.7091,0.2753,0.793,0.491,0.5251,0.4674,0.4055,0.7018,0.3668,0.3472,0.8061,0.6188,0.0847,0.0587,0.4177,0.5646,0.5538,0.6387,0.777,0.8268,0.6768,0.416,0.0665,0.1066,0.5328,0.6251,-0.0408,0.3075,0.6934,0.0025,0.2205,0.5204,0.4498,0.6839,1
